time StartCity district Id stype EndCity Count
"2021-05-18 12:00:00" 1 107 1044 11 6 0
"2021-05-18 13:00:00" 1 107 1044 11 6 0
"2021-05-18 14:00:00" 1 107 1044 11 6 0
"2021-05-18 15:00:00" 1 107 1044 11 6 0
"2021-05-18 16:00:00" 1 107 1044 11 6 0
"2021-05-18 17:00:00" 1 107 1044 11 6 0
"2021-05-18 18:00:00" 1 107 1044 11 6 0
"2021-05-18 19:00:00" 1 107 1044 11 6 0
"2021-05-18 20:00:00" 1 107 1044 11 6 0
"2021-05-18 21:00:00" 1 107 1044 11 6 0
"2021-05-18 22:00:00" 1 107 1044 11 6 0
"2021-05-18 23:00:00" 1 107 1044 11 6 0
"2021-05-19 00:00:00" 1 107 1044 11 6 0
"2021-05-19 01:00:00" 1 107 1044 11 6 0
"2021-05-19 02:00:00" 1 107 1044 11 6 0
"2021-05-19 03:00:00" 1 107 1044 11 6 0
"2021-05-19 04:00:00" 1 107 1044 11 6 0
"2021-05-19 05:00:00" 1 107 1044 11 6 0
"2021-05-19 06:00:00" 1 107 1044 11 6 0
"2021-05-19 07:00:00" 1 107 1044 11 6 0
"2021-05-19 08:00:00" 1 107 1044 11 6 0
"2021-05-19 09:00:00" 1 107 1044 11 6 0
"2021-05-19 10:00:00" 1 107 1044 11 6 0
"2021-05-19 11:00:00" 1 107 1044 11 6 0
"2021-05-19 12:00:00" 1 107 1044 11 6 0
"2021-05-19 13:00:00" 1 107 1044 11 6 0
"2021-05-19 14:00:00" 1 107 1044 11 6 0
"2021-05-19 15:00:00" 1 107 1044 11 6 0
"2021-05-19 16:00:00" 1 107 1044 11 6 0
"2021-05-19 17:00:00" 1 107 1044 11 6 0
"2021-05-19 18:00:00" 1 107 1044 11 6 0
"2021-05-19 19:00:00" 1 107 1044 11 6 0
"2021-05-19 20:00:00" 1 107 1044 11 6 0
"2021-05-19 21:00:00" 1 107 1044 11 6 0
"2021-05-19 22:00:00" 1 107 1044 11 6 0
"2021-05-19 23:00:00" 1 107 1044 11 6 0
"2021-05-20 00:00:00" 1 107 1044 11 6 0
"2021-05-20 01:00:00" 1 107 1044 11 6 0
"2021-05-20 02:00:00" 1 107 1044 11 6 0
"2021-05-20 03:00:00" 1 107 1044 11 6 0
"2021-05-20 04:00:00" 1 107 1044 11 6 0
"2021-05-20 05:00:00" 1 107 1044 11 6 0
"2021-05-20 06:00:00" 1 107 1044 11 6 0
"2021-05-20 07:00:00" 1 107 1044 11 6 0
"2021-05-20 08:00:00" 1 107 1044 11 6 0
"2021-05-20 09:00:00" 1 107 1044 11 6 0
"2021-05-20 10:00:00" 1 107 1044 11 6 0
"2021-05-20 11:00:00" 1 107 1044 11 6 0
"2021-05-20 12:00:00" 1 107 1044 11 6 0
"2021-05-20 13:00:00" 1 107 1044 11 6 0
